section_cn,title_cn,others,section,index,title,src,authur,demo_src
通用,AI赏析与重温,,General Wisdom,1,"Game AI Appreciation, Revisited",http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter01_Game_AI_Appreciation_Revisited.pdf,Kevin Dill and Mike Lewis,
通用,FEAR中的连击：反馈的错觉,,General Wisdom,2,Combat Dialogue in *FEAR*: The Illusion of Communication,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter02_Combat_Dialogue_in_FEAR_The_Illusion_of_Communication.pdf,Jeff Orkin,
通用,两用推理,,General Wisdom,3,Dual-Utility Reasoning,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter03_Dual-Utility_Reasoning.pdf,Kevin Dill,
通用,视觉区域与物体识别,,General Wisdom,4,Vision Zones and Object Identification Certainty,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter04_Vision_Zones_and_Object_Identification_Certainty.pdf,Steve Rabin,
通用,智能体的反应时间应该多快,,General Wisdom,5,Agent Reaction Time: How Fast Should an AI React?,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter05_Agent_Reaction_Time_How_Fast_Should_An_AI_React.pdf,Steve Rabin,
通用,简单黑板避变量免动画重复,,General Wisdom,6,Preventing Animation Twinning Using a Simple Blackboard,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter06_Preventing_Animation_Twinning_Using_a_Simple_Blackboard.pdf,Michael Dawe,
AI架构,机会主义AI和可信世界的可能性图,,Architecture,7,Possibility Maps for Opportunistic AI and Believable Worlds,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter07_Possibility_Maps_for_Opportunistic_AI_and_Believable_Worlds.pdf,John Manslow,
AI架构,1849的配置规则说明,,Architecture,8,Production Rules Implementation in *1849*,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter08_Production_Rules_Implementation_in_1849.pdf,Robert Zubek,
AI架构,3A游戏的新技术：生产系统,,Architecture,9,Production Systems: New Techniques in AAA Games,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter09_Production_Systems_New_Techniques_in_AAA_Games.pdf,Andrea Schiel,
AI架构,构建无风险环境来加强原型构建：执行提示的行为树,,Architecture,10,Building a Risk-Free Environment to Enhance Prototyping: Hinted-Execution Behavior Trees,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter10_Building_a_Risk-Free_Environment_to_Enhance_Prototyping.pdf,Sergio Ocio Barriales,
AI架构,创建生活氛围的智能区,,Architecture,11,Smart Zones to Create the Ambience of Life,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter11_Smart_Zones_to_Create_the_Ambience_of_Life.pdf,"Etienne de Sevin, Caroline Chopinaud, and Clodéric Mars",
AI架构,AI和动画的关注点分离架构,,Architecture,12,Separation of Concerns Architecture for AI and Animation,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter12_Separation_of_Concerns_Architecture_for_AI_and_Animation.pdf,Bobby Anguelov,
AI架构,优化AI的实际规划,,Architecture,13,Optimizing Practical Planning for Game AI,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter13_Optimizing_Practical_Planning_for_Game_AI.pdf,Éric Jacopin,
寻路算法,JPS+，针对静态网格的A*速度优化,,Movement and Pathfinding,14,JPS+: An Extreme A* Speed Optimization for Static Uniform Cost Grids,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter14_JPS_Plus_An_Extreme_A_Star_Speed_Optimization_for_Static_Uniform_Cost_Grids.pdf,Steve Rabin,
寻路算法,用于快速优化寻路的子目标图,,Movement and Pathfinding,15,Subgoal Graphs for Fast Optimal Pathfinding,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter15_Subgoal_Graphs_for_Fast_Optimal_Pathfinding.pdf,Tansel Uras and Sven Koenig,
寻路算法,任意角度寻路的Theta*,,Movement and Pathfinding,16,Theta* for Any-Angle Pathfinding,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter16_Theta_Star_for_Any-Angle_Pathfinding.pdf,Alex Nash and Sven Koenig,
寻路算法,稳健高效的人群技术,,Movement and Pathfinding,17,"Techniques for Robust, Efficient Crowds",http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter17_Advanced_Techniques_for_Robust_Efficient_Crowds.pdf,Graham Pentheny,
寻路算法,语境引导： 宏观层面的行为驱动转向,,Movement and Pathfinding,18,Context Steering: Behavior-Driven Steering at the Macro Scale,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter18_Context_Steering_Behavior-Driven_Steering_at_the_Macro_Scale.pdf,Andrew Fray,
寻路算法,预测性防撞指南,,Movement and Pathfinding,19,Guide to Anticipatory Collision Avoidance,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter19_Guide_to_Anticipatory_Collision_Avoidance.pdf,Stephen J. Guy and Ioannis Karamouzas,
寻路算法,群体导航行为的分层结构,,Movement and Pathfinding,20,Hierarchical Architecture for Group Navigation Behaviors,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter20_Hierarchical_Architecture_for_Group_Navigation_Behaviors.pdf,Clodéric Mars and Jérémy Chanut,
寻路算法,Fuse中的动态障碍物导航,,Movement and Pathfinding,21,Dynamic Obstacle Navigation in Fuse,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter21_Dynamic_Obstacle_Navigation_in_Fuse.pdf,Jan Müller,
搜索优化,游戏搜索简介,,Applied Search Techniques,22,Introduction to Search for Games,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter22_Introduction_to_Search_for_Games.pdf,Nathan R. Sturtevant,
搜索优化,移动战略游戏的个性强化搜索,,Applied Search Techniques,23,Personality Reinforced Search for Mobile Strategy Games,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter23_Personality_Reinforced_Search_for_Mobile_Strategy_Games.pdf,Miguel A. Nieves,
搜索优化,兴趣搜索： 一个更快的最小值,,Applied Search Techniques,24,Interest Search: A Faster Minimax,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter24_Interest_Search_A_Faster_Minimax.pdf,Jeff Rollason,
搜索优化,Monte Carlo 树搜索和相关算法,,Applied Search Techniques,25,Monte Carlo Tree Search and Related Algorithms for Games,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter25_Monte_Carlo_Tree_Search_and_Related_Algorithms_for_Games.pdf,Nathan R. Sturtevant,
搜索优化,开发你自己的有限域约束求解器,,Applied Search Techniques,26,Rolling Your Own Finite-Domain Constraint Solver,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter26_Rolling_Your_Own_Finite-Domain_Constraint_Solver.pdf,Leif Foged and Ian Horswill,
策略,找到麻烦： 让NPC真实地搜索,,"Tactics, Strategy, and Spacial Awareness",27,Looking for Trouble: Making NPCs Search Realistically,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter27_Looking_for_Trouble_Making_NPCs_Search_Realistically.pdf,Rich Welsh,
策略,细胞分裂中的感知度和意识建模,,"Tactics, Strategy, and Spacial Awareness",28,Modeling Perception and Awareness in *Tom Clancy's Splinter Cell Blacklist*,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter28_Modeling_Perception_and_Awareness_in_Tom_Clancy's_Splinter_Cell_Blacklist.pdf,Martin Walsh,
策略,逃离网格： 无限分辨率的影响映射,,"Tactics, Strategy, and Spacial Awareness",29,Escaping the Grid: Infinite-Resolution Influence Mapping,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter29_Escaping_the_Grid_Infinite-Resolution_Influence_Mapping.pdf,Mike Lewis,
策略,模块化的战术影响图,,"Tactics, Strategy, and Spacial Awareness",30,Modular Tactical Influence Maps,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter30_Modular_Tactical_Influence_Maps.pdf,Dave Mark,
策略,战略决策的空间推理,,"Tactics, Strategy, and Spacial Awareness",31,Spatial Reasoning for Strategic Decision Making,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter31_Spatial_Reasoning_for_Strategic_Decision_Making.pdf,Kevin Dill,
策略,扩展基于体素的导航网的空间覆盖,,"Tactics, Strategy, and Spacial Awareness",32,Extending the Spatial Coverage of a Voxel-Based Navigation Mesh,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter32_Extending_the_Spatial_Coverage_of_a_Voxel-Based_Navigation_Mesh.pdf,Kevin A. Kirst,
角色行为,美末：感染者AI,,Character Behavior,33,Infected AI in *The Last of Us*,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter33_Infected_AI_in_The_Last_of_Us.pdf,Mark Botta,
角色行为,美末：人类敌人AI,,Character Behavior,34,Human Enemy AI in *The Last of Us*,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter34_Human_Enemy_AI_in_The_Last_of_Us.pdf,Travis McIntosh,
角色行为,美末：艾莉伙伴AI,,Character Behavior,35,Ellie: Buddy AI in *The Last of Us*,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter35_Ellie_Buddy_AI_in_The_Last_of_Us.pdf,Max Dyckhoff,
角色行为,实现NPC： 可信的角色的动画和行为控制,,Character Behavior,36,Realizing NPCs: Animation and Behavior Control for Believable Characters,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter36_Realizing_NPCs_Animation_and_Behavior_Control_for_Believable_Characters.pdf,Jeet Shroff,
角色行为,使用队列来模拟商人的库存,,Character Behavior,37,Using Queues to Model a Merchant's Inventory,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter37_Using_Queues_to_Model_a_Merchant's_Inventory.pdf,John Manslow,
角色行为,角色行为设计的心理学合理性方法,,Character Behavior,38,Psychologically Plausible Methods for Character Behavior Design,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter38_Psychologically_Plausible_Methods_for_Character_Behavior_Design.pdf,Phil Carlisle,
其他,基于分析的人工智能技术以获得更好的游戏体验,,"Analytics, Content Generation, and Experience Management",39,Analytics-Based AI Techniques for a Better Gaming Experience,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter39_Analytics-Based_AI_Techniques_for_a_Better_Gaming_Experience.pdf,"Truong-Huy D. Nguyen, Zhengxing Chen, and Magy Seif El-Nasr",
其他,程序性内容生成： 概述,,"Analytics, Content Generation, and Experience Management",40,Procedural Content Generation: An Overview,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter40_Procedural_Content_Generation_An_Overview.pdf,Gillian Smith,
其他,矮人要塞的模拟原则,,"Analytics, Content Generation, and Experience Management",41,Simulation Principles from *Dwarf Fortress*,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter41_Simulation_Principles_from_Dwarf_Fortress.pdf,Tarn Adams,
其他,互动叙事中AI驱动的经验管理技术,,"Analytics, Content Generation, and Experience Management",42,Techniques for AI-Driven Experience Management in Interactive Narratives,http://www.gameaipro.com/GameAIPro2/GameAIPro2_Chapter42_Techniques_for_AI-Driven_Experience_Management_in_Interactive_Narratives.pdf,"Vadim Bulitko, Greg Lee, Sergio Poo Hernandez, Alejandro Ramirez, and David Thue",
